Name,Team,NOC,Games,City,Sport,Event,Medal
Lyudmila Yevgenevna Belousova (-Protopopova),Soviet Union-1,URS,1964 Winter,Innsbruck,Figure Skating,Figure Skating Mixed Pairs,Gold
Lyudmila Yevgenevna Belousova (-Protopopova),Soviet Union-1,URS,1968 Winter,Grenoble,Figure Skating,Figure Skating Mixed Pairs,Gold
Lyudmila Yevgenyevna Titova,Soviet Union,URS,1968 Winter,Grenoble,Speed Skating,Speed Skating Women's 500 metres,Gold
Lzaro Vargas lvarez,Cuba,CUB,1992 Summer,Barcelona,Baseball,Baseball Men's Baseball,Gold
Lzaro Vargas lvarez,Cuba,CUB,1996 Summer,Atlanta,Baseball,Baseball Men's Baseball,Gold
Ma Lin,China-1,CHN,2004 Summer,Athina,Table Tennis,Table Tennis Men's Doubles,Gold
Ma Lin,China,CHN,2008 Summer,Beijing,Table Tennis,Table Tennis Men's Singles,Gold
Ma Lin,China,CHN,2008 Summer,Beijing,Table Tennis,Table Tennis Men's Team,Gold
Ma Long,China,CHN,2012 Summer,London,Table Tennis,Table Tennis Men's Team,Gold
Ma Long,China,CHN,2016 Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,Gold
Ma Long,China,CHN,2016 Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Team,Gold
Ma Yanhong,China,CHN,1984 Summer,Los Angeles,Gymnastics,Gymnastics Women's Uneven Bars,Gold
Maaike Christiane Head,Netherlands,NED,2016 Summer,Rio de Janeiro,Rowing,Rowing Women's Lightweight Double Sculls,Gold
Maarten van der Weijden,Netherlands,NED,2008 Summer,Beijing,Swimming,Swimming Men's 10 kilometres Open Water,Gold
Maartje Goderie,Netherlands,NED,2008 Summer,Beijing,Hockey,Hockey Women's Hockey,Gold
Maartje Goderie,Netherlands,NED,2012 Summer,London,Hockey,Hockey Women's Hockey,Gold
Maartje Yvonne Helene Paumen,Netherlands,NED,2008 Summer,Beijing,Hockey,Hockey Women's Hockey,Gold
Maartje Yvonne Helene Paumen,Netherlands,NED,2012 Summer,London,Hockey,Hockey Women's Hockey,Gold
Mac Maurice Wilkins,United States,USA,1976 Summer,Montreal,Athletics,Athletics Men's Discus Throw,Gold
Maciej Tomasz Czyowicz,Poland,POL,1992 Summer,Barcelona,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
"Mackenzie ""Mack"" Horton",Australia,AUS,2016 Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Freestyle,Gold
Maddalena Musumeci,Italy,ITA,2004 Summer,Athina,Water Polo,Water Polo Women's Water Polo,Gold
"Maddison Michelle ""Maddie"" Bowman",United States,USA,2014 Winter,Sochi,Freestyle Skiing,Freestyle Skiing Women's Halfpipe,Gold
Madeleine Chamot-Berthod,Switzerland,SUI,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Downhill,Gold
"Madeline ""Maddie"" Musselman",United States,USA,2016 Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
"Madeline Clare ""Maddie"" Hinch",Great Britain,GBR,2016 Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,Gold
"Madeline Jane ""Maya"" DiRado",United States,USA,2016 Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
"Madeline Jane ""Maya"" DiRado",United States,USA,2016 Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Backstroke,Gold
Madeline Manning-Jackson (-Mims),United States,USA,1968 Summer,Mexico City,Athletics,Athletics Women's 800 metres,Gold
"Madison ""Madi"" Wilson",Australia,AUS,2016 Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Madison Taylor Kocian,United States,USA,2016 Summer,Rio de Janeiro,Gymnastics,Gymnastics Women's Team All-Around,Gold
Mads Christian Kruse Andersen,Denmark,DEN,2008 Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
Mads Christiansen,Denmark,DEN,2016 Summer,Rio de Janeiro,Handball,Handball Men's Handball,Gold
Mads Mensah Larsen,Denmark,DEN,2016 Summer,Rio de Janeiro,Handball,Handball Men's Handball,Gold
Mads Reinholdt Rasmussen (-Kirke),Denmark,DEN,2012 Summer,London,Rowing,Rowing Men's Lightweight Double Sculls,Gold
Magalys Esther Carvajal Rivera,Cuba,CUB,1992 Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,Gold
Magalys Esther Carvajal Rivera,Cuba,CUB,1996 Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Gold
Magda Maria Henrietta Julin (Mauroy-),Sweden,SWE,1920 Summer,Antwerpen,Figure Skating,Figure Skating Women's Singles,Gold
Magdalena Fularczyk-Kozowska,Poland,POL,2016 Summer,Rio de Janeiro,Rowing,Rowing Women's Double Sculls,Gold
"Magdalena Johanna Maria ""Marleen"" Veldhuis",Netherlands,NED,2008 Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Magdalena Neuner (-Holzer),Germany,GER,2010 Winter,Vancouver,Biathlon,Biathlon Women's 10 kilometres Pursuit,Gold
Magdalena Neuner (-Holzer),Germany,GER,2010 Winter,Vancouver,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,Gold
Magnar Solberg,Norway,NOR,1968 Winter,Grenoble,Biathlon,Biathlon Men's 20 kilometres,Gold
Magnar Solberg,Norway,NOR,1972 Winter,Sapporo,Biathlon,Biathlon Men's 20 kilometres,Gold
"Magnus ""Mike"" Goodman",Canada,CAN,1920 Summer,Antwerpen,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Magnus Andreas Thulstrup Clasen Konow,Magda IX,NOR,1912 Summer,Stockholm,Sailing,Sailing Mixed 12 metres,Gold
Magnus Andreas Thulstrup Clasen Konow,Sildra-1,NOR,1920 Summer,Antwerpen,Sailing,Sailing Mixed 8 metres,Gold
Magnus Hovdal Moan,Norway,NOR,2014 Winter,Sochi,Nordic Combined,Nordic Combined Men's Team,Gold
Magnus Krog,Norway,NOR,2014 Winter,Sochi,Nordic Combined,Nordic Combined Men's Team,Gold
Magnus Liljedahl,United States,USA,2000 Summer,Sydney,Sailing,Sailing Mixed Two Person Keelboat,Gold
Magomedgasan Mingazhutdinovich Abushev,Soviet Union,URS,1980 Summer,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Maharaj Krishon Kaushik,India,IND,1980 Summer,Moskva,Hockey,Hockey Men's Hockey,Gold
Mahmoud S. Fayad,Egypt,EGY,1948 Summer,London,Weightlifting,Weightlifting Men's Featherweight,Gold
Mahmut Atalay,Turkey,TUR,1968 Summer,Mexico City,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
Mahmut Demir,Turkey,TUR,1996 Summer,Atlanta,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
Mahonri Mackintosh Young,United States,USA,1932 Summer,Los Angeles,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",Gold
Maialen Chourraut Yurramendi,Spain,ESP,2016 Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Gold
"Maicel Donee Malone (-Wallace, -Trapp)",United States,USA,1996 Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Maider Tellera Goi,Spain,ESP,1992 Summer,Barcelona,Hockey,Hockey Women's Hockey,Gold
Maik Bullmann,Germany,GER,1992 Summer,Barcelona,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Maik Landsmann,East Germany,GDR,1988 Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Maike Nollen,Germany,GER,2004 Summer,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Maiken Caspersen Falla,Norway,NOR,2014 Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's Sprint,Gold
Maikro Eusebio Romero Esquivel,Cuba,CUB,1996 Summer,Atlanta,Boxing,Boxing Men's Flyweight,Gold
Mait Riisman,Soviet Union,URS,1980 Summer,Moskva,Water Polo,Water Polo Men's Water Polo,Gold
Maiya Salakharovna Maneza,Kazakhstan,KAZ,2012 Summer,London,Weightlifting,Weightlifting Women's Middleweight,Gold
Maja Corina Grnbek,Denmark,DEN,2000 Summer,Sydney,Handball,Handball Women's Handball,Gold
Majlinda Kelmendi,Kosovo,KOS,2016 Summer,Rio de Janeiro,Judo,Judo Women's Half-Lightweight,Gold
Major Josiah George Ritchie,Great Britain,GBR,1908 Summer,London,Tennis,Tennis Men's Singles,Gold
Makenzie Fischer,United States,USA,2016 Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
Makharbek Khazbiyevich Khadartsev,Soviet Union,URS,1988 Summer,Seoul,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
Makharbek Khazbiyevich Khadartsev,Unified Team,EUN,1992 Summer,Barcelona,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
Maki Tsukada,Japan,JPN,2004 Summer,Athina,Judo,Judo Women's Heavyweight,Gold
Makoto Takimoto,Japan,JPN,2000 Summer,Sydney,Judo,Judo Men's Half-Middleweight,Gold
Maksim Aleksandrovich Opalev,Russia,RUS,2008 Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold
Maksim Leonidovich Trankov,Russia-1,RUS,2014 Winter,Sochi,Figure Skating,Figure Skating Mixed Pairs,Gold
Maksim Leonidovich Trankov,Russia,RUS,2014 Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Gold
Maksim Mikhaylovich Mikhaylov,Russia,RUS,2012 Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
"Maksim Nikolayevich ""Max"" Mirnyi",Belarus,BLR,2012 Summer,London,Tennis,Tennis Mixed Doubles,Gold
Maksim Viktorovich Marinin,Russia-1,RUS,2006 Winter,Torino,Figure Skating,Figure Skating Mixed Pairs,Gold
Maksim Vladimirovich Tarasov,Unified Team,EUN,1992 Summer,Barcelona,Athletics,Athletics Men's Pole Vault,Gold
Malcolm Douglas Cooper,Great Britain,GBR,1984 Summer,Los Angeles,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
Malcolm Douglas Cooper,Great Britain,GBR,1988 Summer,Seoul,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
Malcolm Eadie Champion,Australasia,ANZ,1912 Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Malcolm George Page,Australia,AUS,2008 Summer,Beijing,Sailing,Sailing Men's Two Person Dinghy,Gold
Malcolm George Page,Australia,AUS,2012 Summer,London,Sailing,Sailing Men's Two Person Dinghy,Gold
Malcolm Howard,Canada,CAN,2008 Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Gold
"Malcolm Julian ""Mannie"" McArthur",Australasia,ANZ,1908 Summer,London,Rugby,Rugby Men's Rugby,Gold
Malle Danica Ricker,Canada,CAN,2010 Winter,Vancouver,Snowboarding,Snowboarding Women's Boardercross,Gold
"Malvin Groston ""Mal"" Whitfield",United States,USA,1948 Summer,London,Athletics,Athletics Men's 800 metres,Gold
"Malvin Groston ""Mal"" Whitfield",United States,USA,1948 Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
"Malvin Groston ""Mal"" Whitfield",United States,USA,1952 Summer,Helsinki,Athletics,Athletics Men's 800 metres,Gold
Mamo Wolde,Ethiopia,ETH,1968 Summer,Mexico City,Athletics,Athletics Men's Marathon,Gold
Mandy Haase,Germany,GER,2004 Summer,Athina,Hockey,Hockey Women's Hockey,Gold
Mandy Islacker,Germany,GER,2016 Summer,Rio de Janeiro,Football,Football Women's Football,Gold
Manfred Klein,West Germany,FRG,1988 Summer,Seoul,Rowing,Rowing Men's Coxed Eights,Gold
Manfred Kurzer,Germany,GER,2004 Summer,Athina,Shooting,"Shooting Men's Running Target, 10 metres",Gold
Manfred Rulffs,Germany,GER,1960 Summer,Roma,Rowing,Rowing Men's Coxed Eights,Gold
Manfred Schmid,Austria,AUT,1968 Winter,Grenoble,Luge,Luge Men's Singles,Gold
Manfred Schnelldorfer,Germany,GER,1964 Winter,Innsbruck,Figure Skating,Figure Skating Men's Singles,Gold
Manfred Stengl,Austria-1,AUT,1964 Winter,Innsbruck,Luge,Luge Mixed (Men)'s Doubles,Gold
Manfred Wolke,East Germany,GDR,1968 Summer,Mexico City,Boxing,Boxing Men's Welterweight,Gold
Manja Kowalski,Germany,GER,2000 Summer,Sydney,Rowing,Rowing Women's Quadruple Sculls,Gold
Manlio Di Rosa,Italy,ITA,1936 Summer,Berlin,Fencing,"Fencing Men's Foil, Team",Gold
Manlio Di Rosa,Italy,ITA,1956 Summer,Melbourne,Fencing,"Fencing Men's Foil, Team",Gold
Manlio Pastorini,Italy,ITA,1920 Summer,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,Gold
Manon van Rooijen,Netherlands,NED,2008 Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Mansur Mustafayevich Isayev,Russia,RUS,2012 Summer,London,Judo,Judo Men's Lightweight,Gold
Manuchar K'virk'velia,Georgia,GEO,2008 Summer,Beijing,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
Manuel Alberto Vega Tamayo,Cuba,CUB,2004 Summer,Athina,Baseball,Baseball Men's Baseball,Gold
Manuel Brunet,Argentina,ARG,2016 Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold
Manuel Dionisio Daz Martnez,Cuba,CUB,1904 Summer,St. Louis,Fencing,"Fencing Men's Foil, Team",Gold
Manuel Dionisio Daz Martnez,Cuba,CUB,1904 Summer,St. Louis,Fencing,"Fencing Men's Sabre, Individual",Gold
Manuel Estiarte Duocastella,Spain,ESP,1996 Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold
Manuel ngel Andrada,Argentina,ARG,1936 Summer,Berlin,Polo,Polo Men's Polo,Gold
Manuela Di Centa,Italy,ITA,1994 Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,Gold
Manuela Di Centa,Italy,ITA,1994 Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Gold
Manuela Henkel,Germany,GER,2002 Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
Manuela Lutze,Germany,GER,2000 Summer,Sydney,Rowing,Rowing Women's Quadruple Sculls,Gold
Manuela Lutze,Germany,GER,2004 Summer,Athina,Rowing,Rowing Women's Quadruple Sculls,Gold
Manuela Mucke,Germany,GER,1996 Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Manuela Mucke,Germany,GER,2000 Summer,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Manuela Stellmach (-Schubert),East Germany,GDR,1988 Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Manuela Stellmach (-Schubert),East Germany,GDR,1988 Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Manut Boonjumnong,Thailand,THA,2004 Summer,Athina,Boxing,Boxing Men's Light-Welterweight,Gold
Manzoor Hussain,Pakistan,PAK,1984 Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Manzoor Hussain Atif,Pakistan,PAK,1960 Summer,Roma,Hockey,Hockey Men's Hockey,Gold
Mara Caridad Coln Ruees-Salazar,Cuba,CUB,1980 Summer,Moskva,Athletics,Athletics Women's Javelin Throw,Gold
"Mara de los Angeles ""Masa"" Rodrguez Surez",Spain,ESP,1992 Summer,Barcelona,Hockey,Hockey Women's Hockey,Gold
Mara del Carmen Barea Cobos,Spain,ESP,1992 Summer,Barcelona,Hockey,Hockey Women's Hockey,Gold
Mara del Rosario Espinoza Espinoza,Mexico,MEX,2008 Summer,Beijing,Taekwondo,Taekwondo Women's Heavyweight,Gold
"Mara Isabel ""Maribel"" Martnez de Murgua Embara",Spain,ESP,1992 Summer,Barcelona,Hockey,Hockey Women's Hockey,Gold
Mara Isabel Fernndez Gutirrez,Spain,ESP,2000 Summer,Sydney,Judo,Judo Women's Lightweight,Gold
Mara Isabel Urrutia Ocor,Colombia,COL,2000 Summer,Sydney,Weightlifting,Weightlifting Women's Heavyweight,Gold
"Mara Victoria ""Mariv"" Gonzlez Laguillo",Spain,ESP,1992 Summer,Barcelona,Hockey,Hockey Women's Hockey,Gold
Marc Burns,Trinidad and Tobago,TTO,2008 Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Marc Gagnon,Canada,CAN,1998 Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
Marc Gagnon,Canada,CAN,2002 Winter,Salt Lake City,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Gold
Marc Gagnon,Canada,CAN,2002 Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
Marc Kennedy,Canada,CAN,2010 Winter,Vancouver,Curling,Curling Men's Curling,Gold
Marc Lpez i Tarrs,Spain-2,ESP,2016 Summer,Rio de Janeiro,Tennis,Tennis Men's Doubles,Gold
Marc Marie Andr Roguet,France,FRA,1976 Summer,Montreal,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Marc Robert Alexandre,France,FRA,1988 Summer,Seoul,Judo,Judo Men's Lightweight,Gold
Marc Robert Waldie,United States,USA,1984 Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Gold
Marc Rosset,Switzerland,SUI,1992 Summer,Barcelona,Tennis,Tennis Men's Singles,Gold
Marc-douard Vlasic,Canada,CAN,2014 Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Marcel Carlos Paul Gaston Delaplane (De la Plane-),France,FRA,1906 Summer,Athina,Rowing,Rowing Men's Single Sculls,Gold
Marcel Cyr Desprets,France,FRA,1948 Summer,London,Fencing,"Fencing Men's epee, Team",Gold
Marcel Fischer,Switzerland,SUI,2004 Summer,Athina,Fencing,"Fencing Men's epee, Individual",Gold
Marcel Fssler,Switzerland-1,SUI,1988 Winter,Calgary,Bobsleigh,Bobsleigh Men's Four,Gold
Marcel Meyer de Stadelhofen,Switzerland,SUI,1906 Summer,Athina,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
Marcel Meyer de Stadelhofen,Switzerland,SUI,1906 Summer,Athina,Shooting,"Shooting Men's Free Rifle, Any Position, 300 metres",Gold
Marcel Ren Gaspard Gobillot,France,FRA,1920 Summer,Antwerpen,Cycling,"Cycling Men's Road Race, Team",Gold
Marcello Bartalini,Italy,ITA,1984 Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Marcello Bertinetti,Italy,ITA,1924 Summer,Paris,Fencing,"Fencing Men's Sabre, Team",Gold
Marcello Bertinetti,Italy,ITA,1928 Summer,Amsterdam,Fencing,"Fencing Men's epee, Team",Gold
Marcelo Bastos Ferreira,Brazil,BRA,1996 Summer,Atlanta,Sailing,Sailing Mixed Two Person Keelboat,Gold
Marcelo Bastos Ferreira,Brazil,BRA,2004 Summer,Athina,Sailing,Sailing Men's Two Person Keelboat,Gold
Marcelo Teles Negro,Brazil,BRA,1992 Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
Marcia Gudereit (Schiml-),Canada,CAN,1998 Winter,Nagano,Curling,Curling Women's Curling,Gold
Marco Albarello,Italy,ITA,1994 Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Marco Cimatti,Italy,ITA,1932 Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Marco D'Altrui,Italy,ITA,1992 Summer,Barcelona,Water Polo,Water Polo Men's Water Polo,Gold
Marco Galiazzo,Italy,ITA,2004 Summer,Athina,Archery,Archery Men's Individual,Gold
Marco Galiazzo,Italy,ITA,2012 Summer,London,Archery,Archery Men's Team,Gold
Marco Giovannetti,Italy,ITA,1984 Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Marco Jakobs,Germany-2,GER,1998 Winter,Nagano,Bobsleigh,Bobsleigh Men's Four,Gold
Marco Jhonfai Fabin de la Mora,Mexico,MEX,2012 Summer,London,Football,Football Men's Football,Gold
Marco Marin,Italy,ITA,1984 Summer,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Gold
"Marcos ""Marquinhos"" Aos Corra",Brazil,BRA,2016 Summer,Rio de Janeiro,Football,Football Men's Football,Gold
Marcos Pinto Rizzo Soares,Brazil,BRA,1980 Summer,Moskva,Sailing,Sailing Mixed Two Person Dinghy,Gold
"Marcus ""Mark"" Evans",Canada,CAN,1984 Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
"Marcus ""Mark"" Tewksbury",Canada,CAN,1992 Summer,Barcelona,Swimming,Swimming Men's 100 metres Backstroke,Gold
"Marcus Anthony ""Mark"" Kerry",Australia,AUS,1980 Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Marcus Christian Jensen,United States,USA,2000 Summer,Sydney,Baseball,Baseball Men's Baseball,Gold
Marcus Cooper Walz,Spain,ESP,2016 Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
Marcus Ehning,Germany,GER,2000 Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Marcus Gro,Germany,GER,2016 Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
Marcus Gro,Germany,GER,2016 Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
"Marcus Johannes Elizabeth Leopold ""Marc"" Delissen",Netherlands,NED,1996 Summer,Atlanta,Hockey,Hockey Men's Hockey,Gold
Marcus Latimer Hurley,United States,USA,1904 Summer,St. Louis,Cycling,Cycling Men's 1/4 mile,Gold
Marcus Latimer Hurley,United States,USA,1904 Summer,St. Louis,Cycling,Cycling Men's 1/3 mile,Gold
Marcus Latimer Hurley,United States,USA,1904 Summer,St. Louis,Cycling,Cycling Men's 1/2 mile,Gold
Marcus Latimer Hurley,United States,USA,1904 Summer,St. Louis,Cycling,Cycling Men's 1 mile,Gold
"Marcus Lyndon ""Mark"" Tonelli (Leembruggen-)",Australia,AUS,1980 Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
"Marcus Mills Pomeroy ""Mark"" Arie",United States,USA,1920 Summer,Antwerpen,Shooting,Shooting Men's Trap,Gold
"Marcus Mills Pomeroy ""Mark"" Arie",United States,USA,1920 Summer,Antwerpen,Shooting,"Shooting Men's Trap, Team",Gold
"Marcus Ross ""Marc"" Freiberger",United States,USA,1952 Summer,Helsinki,Basketball,Basketball Men's Basketball,Gold
Maree Beverley Fish,Australia,AUS,1988 Summer,Seoul,Hockey,Hockey Women's Hockey,Gold
Marek Antoni Kolbowicz,Poland,POL,2008 Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Gold
Marek Karbarz,Poland,POL,1976 Summer,Montreal,Volleyball,Volleyball Men's Volleyball,Gold
Marek Roman Dbrowski,Poland,POL,1972 Summer,Munich,Fencing,"Fencing Men's Foil, Team",Gold
"Margaret Ann ""Maggie"" Steffens",United States,USA,2012 Summer,London,Water Polo,Water Polo Women's Water Polo,Gold
"Margaret Ann ""Maggie"" Steffens",United States,USA,2016 Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Gold
Margaret Ann Bailes (Johnson-),United States,USA,1968 Summer,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Margaret Darling Woodbridge (-Presley),United States,USA,1920 Summer,Antwerpen,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Margaret Ives Abbott (-Dunne),United States,USA,1900 Summer,Paris,Golf,Golf Women's Individual,Gold
Margaret Morton,Great Britain,GBR,2002 Winter,Salt Lake City,Curling,Curling Women's Curling,Gold
Margaret Percival Gibson (-Messenger),Australia,AUS,1956 Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Margarita Abdullayevna Mamun,Russia,RUS,2016 Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold
Margarita Sergeyevna Aliychuk,Russia,RUS,2008 Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Margherita Zalaffi (-Tonini),Italy,ITA,1992 Summer,Barcelona,Fencing,"Fencing Women's Foil, Team",Gold
"Margit Korondi (Kronstein-, -Plachy, -Szalay)",Hungary,HUN,1952 Summer,Helsinki,Gymnastics,Gymnastics Women's Uneven Bars,Gold
"Margit Korondi (Kronstein-, -Plachy, -Szalay)",Hungary,HUN,1956 Summer,Melbourne,Gymnastics,Gymnastics Women's Team Portable Apparatus,Gold
Margit Schumann (-Esmarch),East Germany,GDR,1976 Winter,Innsbruck,Luge,Luge Women's Singles,Gold
Margitta Helmbold-Gummel,East Germany,GDR,1968 Summer,Mexico City,Athletics,Athletics Women's Shot Put,Gold
Margot A. Thien,United States,USA,1996 Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Margot van Geffen,Netherlands,NED,2012 Summer,London,Hockey,Hockey Women's Hockey,Gold
Marguerite Marie Broquedis-Billout (-Bordes),France,FRA,1912 Summer,Stockholm,Tennis,Tennis Women's Singles,Gold
Margunn Haugenes (Humlestl-),Norway,NOR,2000 Summer,Sydney,Football,Football Women's Football,Gold
Marharyta Mykolavna Nikolaieva (Petrova-),Soviet Union,URS,1960 Summer,Roma,Gymnastics,Gymnastics Women's Team All-Around,Gold
Marharyta Mykolavna Nikolaieva (Petrova-),Soviet Union,URS,1960 Summer,Roma,Gymnastics,Gymnastics Women's Horse Vault,Gold
"Maria Aaltje ""Marianne"" Timmer",Netherlands,NED,1998 Winter,Nagano,Speed Skating,"Speed Skating Women's 1,000 metres",Gold
"Maria Aaltje ""Marianne"" Timmer",Netherlands,NED,1998 Winter,Nagano,Speed Skating,"Speed Skating Women's 1,500 metres",Gold
"Maria Aaltje ""Marianne"" Timmer",Netherlands,NED,2006 Winter,Torino,Speed Skating,"Speed Skating Women's 1,000 metres",Gold
Maria Claudia Prescan,Romania,ROU,2000 Summer,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Gold
Maria de Lurdes Mutola,Mozambique,MOZ,2000 Summer,Sydney,Athletics,Athletics Women's 800 metres,Gold
Maria Fernanda Moreira Ribeiro,Portugal,POR,1996 Summer,Atlanta,Athletics,"Athletics Women's 10,000 metres",Gold
"Maria Geertruida ""Ria"" Stalman",Netherlands,NED,1984 Summer,Los Angeles,Athletics,Athletics Women's Discus Throw,Gold
Maria Hfl-Riesch,Germany,GER,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Slalom,Gold
Maria Hfl-Riesch,Germany,GER,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Combined,Gold
Maria Hfl-Riesch,Germany,GER,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Combined,Gold
"Maria Johanna ""Zus"" Philipsen-Braun",Netherlands,NED,1928 Summer,Amsterdam,Swimming,Swimming Women's 100 metres Backstroke,Gold
"Maria Jose ""Mary Joe"" Fernandez (-Godsick)",United States,USA,1992 Summer,Barcelona,Tennis,Tennis Women's Doubles,Gold
"Maria Jose ""Mary Joe"" Fernandez (-Godsick)",United States,USA,1996 Summer,Atlanta,Tennis,Tennis Women's Doubles,Gold
Maria Magdalena Dumitrache,Romania,ROU,2000 Summer,Sydney,Rowing,Rowing Women's Coxed Eights,Gold
