Name,Team,NOC,Games,City,Sport,Event,Medal
Alan Anatolyevich Khugayev,Russia,RUS,2012 Summer,London,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Alan Blair Thompson,New Zealand,NZL,1984 Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
Alan Blair Thompson,New Zealand,NZL,1984 Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Alan Boone Helffrich,United States,USA,1924 Summer,Paris,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Alan C. Morgan,Angelita,USA,1932 Summer,Los Angeles,Sailing,Sailing Mixed 8 metres,Gold
Alan Chester Valentine,United States,USA,1924 Summer,Paris,Rugby,Rugby Men's Rugby,Gold
Alan Frank Williams,United States,USA,1924 Summer,Paris,Rugby,Rugby Men's Rugby,Gold
Alan Henry Noble,England-1,GBR,1908 Summer,London,Hockey,Hockey Men's Hockey,Gold
Alan Lionel McIntyre,New Zealand,NZL,1976 Summer,Montreal,Hockey,Hockey Men's Hockey,Gold
Alan Malcolm Chesney,New Zealand,NZL,1976 Summer,Montreal,Hockey,Hockey Men's Hockey,Gold
"Alan Morgan ""Al"" Washbond",United States-1,USA,1936 Winter,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh Men's Two,Gold
Alana Olga Blahoski,United States,USA,1998 Winter,Nagano,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
"Albert ""Al"" Young (Jung-)",United States,USA,1904 Summer,St. Louis,Boxing,Boxing Men's Welterweight,Gold
Albert Andreyevich Mokeyev,Soviet Union,URS,1964 Summer,Tokyo,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Albert Azaryan,Soviet Union,URS,1956 Summer,Melbourne,Gymnastics,Gymnastics Men's Team All-Around,Gold
Albert Azaryan,Soviet Union,URS,1956 Summer,Melbourne,Gymnastics,Gymnastics Men's Rings,Gold
Albert Azaryan,Soviet Union,URS,1960 Summer,Roma,Gymnastics,Gymnastics Men's Rings,Gold
Albert Charles Gladstone,Leander Club-1,GBR,1908 Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
"Albert Cosad ""Al"" White",United States,USA,1924 Summer,Paris,Diving,Diving Men's Springboard,Gold
"Albert Cosad ""Al"" White",United States,USA,1924 Summer,Paris,Diving,Diving Men's Platform,Gold
Albert Decaris,France,FRA,1948 Summer,London,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",Gold
"Albert Edwin ""Bertie"" Hill",Great Britain,GBR,1956 Summer,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Albert Ernest Linton,Galt Football Club,CAN,1904 Summer,St. Louis,Football,Football Men's Football,Gold
"Albert F. ""Al"" Nasse",Century Boat Club-1,USA,1904 Summer,St. Louis,Rowing,Rowing Men's Coxless Fours,Gold
Albert Ferrer Llopis,Spain,ESP,1992 Summer,Barcelona,Football,Football Men's Football,Gold
Albert George Hill,Great Britain,GBR,1920 Summer,Antwerpen,Athletics,Athletics Men's 800 metres,Gold
Albert George Hill,Great Britain,GBR,1920 Summer,Antwerpen,Athletics,"Athletics Men's 1,500 metres",Gold
"Albert Gordon ""Bert"" Duncanson",Canada,CAN,1932 Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Albert Hedderich,West Germany,FRG,1984 Summer,Los Angeles,Rowing,Rowing Men's Quadruple Sculls,Gold
Albert Helgerud (Thorvaldsen-),Norway,NOR,1908 Summer,London,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
Albert Helgerud (Thorvaldsen-),Norway,NOR,1908 Summer,London,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Gold
"Albert Henry ""Harry"" Thomas",Great Britain,GBR,1908 Summer,London,Boxing,Boxing Men's Bantamweight,Gold
Albert Hermann Zrner,Germany,GER,1908 Summer,London,Diving,Diving Men's Springboard,Gold
Albert Ireton,London City Police-1,GBR,1908 Summer,London,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Albert Jean Louis Ayat,France,FRA,1900 Summer,Paris,Fencing,"Fencing Men's epee, Masters, Individual",Gold
Albert Jean Louis Ayat,France,FRA,1900 Summer,Paris,Fencing,"Fencing Men's epee, Masters and Amateurs, Individual",Gold
"Albert John ""Bert"" McCaffrey",Canada,CAN,1924 Winter,Chamonix,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Albert Johnston,Galt Football Club,CAN,1904 Summer,St. Louis,Football,Football Men's Football,Gold
Albert Leonard Oldman,Great Britain,GBR,1908 Summer,London,Boxing,Boxing Men's Heavyweight,Gold
Albert Lovejoy Gutterson,United States,USA,1912 Summer,Stockholm,Athletics,Athletics Men's Long Jump,Gold
Albert Marcel Henri Rust,France,FRA,1984 Summer,Los Angeles,Football,Football Men's Football,Gold
Albert Martin,Hera-1,GBR,1908 Summer,London,Sailing,Sailing Mixed 12 metres,Gold
Albert Meyong Ze,Cameroon,CMR,2000 Summer,Sydney,Football,Football Men's Football,Gold
Albert Paul Deborgies,France,FRA,1924 Summer,Paris,Water Polo,Water Polo Men's Water Polo,Gold
Albert Paul Mayaud,France,FRA,1924 Summer,Paris,Water Polo,Water Polo Men's Water Polo,Gold
Albert Per Andersson,Sweden,SWE,1920 Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
"Albert Percy ""Red"" Henderson",Galt Football Club,CAN,1904 Summer,St. Louis,Football,Football Men's Football,Gold
Albert Philippe Taillandier,France,FRA,1900 Summer,Paris,Cycling,Cycling Men's Sprint,Gold
"Albert Romo ""Ab"" Renaud",Canada,CAN,1948 Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Albert Sguin,France,FRA,1924 Summer,Paris,Gymnastics,Gymnastics Men's Side Horse,Gold
Albert Stephan Arnheiter,Ludwigshafener Ruderverein,GER,1912 Summer,Stockholm,Rowing,"Rowing Men's Coxed Fours, Outriggers",Gold
Alberto Cova,Italy,ITA,1984 Summer,Los Angeles,Athletics,"Athletics Men's 10,000 metres",Gold
Alberto Ghilardi,Italy,ITA,1932 Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Alberto Juantorena Danger,Cuba,CUB,1976 Summer,Montreal,Athletics,Athletics Men's 400 metres,Gold
Alberto Juantorena Danger,Cuba,CUB,1976 Summer,Montreal,Athletics,Athletics Men's 800 metres,Gold
Alberto Pellegrino,Italy,ITA,1956 Summer,Melbourne,Fencing,"Fencing Men's epee, Team",Gold
Alberto Pellegrino,Italy,ITA,1960 Summer,Roma,Fencing,"Fencing Men's epee, Team",Gold
Alberto Tomba,Italy,ITA,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
Alberto Tomba,Italy,ITA,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,Gold
Alberto Tomba,Italy,ITA,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
"Alberto Valds Ramos, Sr.",Mexico,MEX,1948 Summer,London,Equestrianism,"Equestrianism Men's Jumping, Team",Gold
Alberto Winkler,Italy,ITA,1956 Summer,Melbourne,Rowing,Rowing Men's Coxed Fours,Gold
Albertson Van Zo Post,United States,USA,1904 Summer,St. Louis,Fencing,"Fencing Men's Foil, Team",Gold
Albertson Van Zo Post,United States,USA,1904 Summer,St. Louis,Fencing,"Fencing Men's Single Sticks, Individual",Gold
Albin Vidovi,Yugoslavia,YUG,1972 Summer,Munich,Handball,Handball Men's Handball,Gold
Albina Khamitovna Akhatova,Russia,RUS,2006 Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
Albina Lucy Charlotte Osipowich (-Van Aken),United States,USA,1928 Summer,Amsterdam,Swimming,Swimming Women's 100 metres Freestyle,Gold
Albina Lucy Charlotte Osipowich (-Van Aken),United States,USA,1928 Summer,Amsterdam,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Albric Collin,Belgium,BEL,1920 Summer,Antwerpen,Art Competitions,Art Competitions Mixed Sculpturing,Gold
"Alden Reamer ""Zeke"" Sanborn",United States,USA,1920 Summer,Antwerpen,Rowing,Rowing Men's Coxed Eights,Gold
Aldis Imants Berzins,United States,USA,1984 Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Gold
Aldo Ghira,Italy,ITA,1948 Summer,London,Water Polo,Water Polo Men's Water Polo,Gold
Aldo Montano,Italy,ITA,2004 Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",Gold
Aldo Nadi,Italy,ITA,1920 Summer,Antwerpen,Fencing,"Fencing Men's Foil, Team",Gold
Aldo Nadi,Italy,ITA,1920 Summer,Antwerpen,Fencing,"Fencing Men's epee, Team",Gold
Aldo Nadi,Italy,ITA,1920 Summer,Antwerpen,Fencing,"Fencing Men's Sabre, Team",Gold
Aldona esaityt-Nennien,Soviet Union,URS,1976 Summer,Montreal,Handball,Handball Women's Handball,Gold
Aldona esaityt-Nennien,Soviet Union,URS,1980 Summer,Moskva,Handball,Handball Women's Handball,Gold
Ale Valenta,Czech Republic,CZE,2002 Winter,Salt Lake City,Freestyle Skiing,Freestyle Skiing Men's Aerials,Gold
Aleen May Bailey,Jamaica,JAM,2004 Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Alejandrina Mireya Luis Hernndez,Cuba,CUB,1992 Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,Gold
Alejandrina Mireya Luis Hernndez,Cuba,CUB,1996 Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Gold
Alejandrina Mireya Luis Hernndez,Cuba,CUB,2000 Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Gold
Alejandro Abascal Garca,Spain,ESP,1980 Summer,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
Alejandro Ariel Montecchia,Argentina,ARG,2004 Summer,Athina,Basketball,Basketball Men's Basketball,Gold
Alejandro Puerto Daz,Cuba,CUB,1992 Summer,Barcelona,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
Aleksandar Kozlina,Yugoslavia,YUG,1960 Summer,Roma,Football,Football Men's Football,Gold
Aleksandar otar,Yugoslavia,YUG,1988 Summer,Seoul,Water Polo,Water Polo Men's Water Polo,Gold
"Aleksandr ""Alex"" Parygin",Kazakhstan,KAZ,1996 Summer,Atlanta,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
Aleksandr Aleksandrovich Belov,Soviet Union,URS,1972 Summer,Munich,Basketball,Basketball Men's Basketball,Gold
Aleksandr Aleksandrovich Boloshev,Soviet Union,URS,1972 Summer,Munich,Basketball,Basketball Men's Basketball,Gold
Aleksandr Aleksandrovich Chernykh,Soviet Union,URS,1988 Winter,Calgary,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Aleksandr Aleksandrovich Karelin,Soviet Union,URS,1988 Summer,Seoul,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
Aleksandr Aleksandrovich Karelin,Unified Team,EUN,1992 Summer,Barcelona,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
Aleksandr Aleksandrovich Karelin,Russia,RUS,1996 Summer,Atlanta,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
Aleksandr Aleksandrovich Kirichenko,Soviet Union,URS,1988 Summer,Seoul,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
Aleksandr Aleksandrovich Volkov,Russia,RUS,2012 Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
Aleksandr Alekseyevich Tarasov,Soviet Union,URS,1956 Summer,Melbourne,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
Aleksandr Anatolyevich Butko,Russia,RUS,2012 Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
Aleksandr Anatolyevich Maseykov,Unified Team,EUN,1992 Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Gold
Aleksandr Anatolyevich Romankov,Soviet Union,URS,1988 Summer,Seoul,Fencing,"Fencing Men's Foil, Team",Gold
Aleksandr Anatolyevich Rymanov,Soviet Union,URS,1988 Summer,Seoul,Handball,Handball Men's Handball,Gold
Aleksandr Andreyevich Sema,Soviet Union,URS,1976 Summer,Montreal,Rowing,Rowing Men's Coxed Fours,Gold
